zip code,date,cumulative positive cases,cumulative recoveries,cumulative deaths
79901,4/23/2020,2,2,0
79901,5/3/2020,4,4,0
79901,5/4/2020,5,5,0
79901,5/5/2020,6,6,0
79901,5/6/2020,9,8,1
79901,5/7/2020,11,10,1
79901,5/10/2020,14,13,1
79901,5/11/2020,15,14,1
79901,5/12/2020,19,17,2
79901,5/13/2020,20,18,2
79901,5/15/2020,21,19,2
79901,5/17/2020,23,19,4
79901,5/18/2020,26,22,4
79901,5/19/2020,28,24,4
79901,5/20/2020,33,29,4
79901,5/21/2020,39,35,4
79901,5/22/2020,42,38,4
79901,5/23/2020,43,39,4
79901,5/25/2020,44,40,4
79901,5/26/2020,46,42,4
79901,5/27/2020,47,43,4
79901,5/28/2020,49,45,4
79901,5/29/2020,50,46,4
79901,5/31/2020,52,48,4
79901,6/2/2020,54,50,4
79901,6/3/2020,55,51,4
79901,6/4/2020,58,54,4
79901,6/5/2020,59,55,4
79901,6/6/2020,62,58,4
79901,6/9/2020,65,61,4
79901,6/10/2020,68,64,4
79901,6/11/2020,69,65,4
79901,6/13/2020,71,67,4
79901,6/14/2020,73,69,4
79901,6/16/2020,79,75,4
79901,6/17/2020,86,82,4
79901,6/18/2020,90,86,4
79901,6/19/2020,92,88,4
79901,6/21/2020,95,91,4
79901,6/22/2020,96,92,4
79901,6/23/2020,98,94,4
79901,6/24/2020,107,101,6
79901,6/25/2020,122,116,6
79901,6/26/2020,128,122,6
79901,6/27/2020,135,129,6
79901,6/28/2020,140,133,7
79901,6/29/2020,161,153,8
79901,6/30/2020,180,172,8
79901,7/1/2020,183,175,8
79901,7/2/2020,259,251,8
79901,7/3/2020,281,273,8
79901,7/4/2020,282,274,8
79901,7/5/2020,284,276,8
79901,7/6/2020,292,284,8
79901,7/7/2020,295,286,9
79901,7/8/2020,301,292,9
79901,7/9/2020,306,297,9
79901,7/10/2020,308,299,9
79901,7/12/2020,312,303,9
79901,7/13/2020,315,306,9
79901,7/14/2020,319,310,9
79901,7/15/2020,321,312,9
79901,7/16/2020,334,324,10
79901,7/17/2020,339,328,11
79901,7/18/2020,342,331,11
79901,7/19/2020,347,336,11
79901,7/20/2020,352,341,11
79901,7/22/2020,358,347,11
79901,7/23/2020,360,348,12
79901,7/24/2020,365,353,12
79901,7/25/2020,366,354,12
79901,7/26/2020,370,357,13
79901,7/27/2020,374,361,13
79901,7/29/2020,381,368,13
79901,7/30/2020,382,369,13
79901,7/31/2020,384,371,13
79901,8/1/2020,388,375,13
79901,8/2/2020,391,378,13
79901,8/3/2020,395,382,13
79901,8/4/2020,401,388,13
79901,8/5/2020,405,392,13
79901,8/6/2020,409,395,14
79901,8/7/2020,410,396,14
79901,8/8/2020,412,398,14
79901,8/9/2020,421,407,14
79901,8/10/2020,422,408,14
79901,8/11/2020,425,411,14
79901,8/12/2020,428,414,14
79901,8/13/2020,431,417,14
79901,8/14/2020,433,419,14
79901,8/15/2020,435,421,14
79901,8/16/2020,439,425,14
79901,8/17/2020,440,426,14
79901,8/18/2020,446,432,14
79901,8/19/2020,448,433,15
79901,8/20/2020,450,435,15
79901,8/21/2020,451,436,15
79901,8/22/2020,455,440,15
79901,8/23/2020,456,441,15
79901,8/24/2020,465,450,15
79901,8/25/2020,466,451,15
79901,8/27/2020,479,464,15
79901,8/28/2020,482,467,15
79901,8/29/2020,484,469,15
79901,8/30/2020,485,470,15
79901,9/1/2020,486,471,15
79901,9/2/2020,491,476,15
79901,9/3/2020,493,478,15
79901,9/5/2020,495,479,16
79901,9/8/2020,497,481,16
79901,9/9/2020,498,482,16
79901,9/10/2020,501,485,16
79901,9/12/2020,503,487,16
79901,9/13/2020,504,488,16
79901,9/14/2020,506,489,17
79901,9/15/2020,512,495,17
79901,9/16/2020,513,496,17
79901,9/18/2020,521,503,18
79901,9/19/2020,522,504,18
79901,9/20/2020,525,507,18
79901,9/21/2020,529,510,19
79901,9/22/2020,535,516,19
79901,9/23/2020,538,519,19
79901,9/24/2020,541,522,19
79901,9/25/2020,543,524,19
79901,9/26/2020,545,526,19
79901,9/27/2020,548,529,19
79901,9/28/2020,559,539,20
79901,9/29/2020,561,541,20
79901,9/30/2020,566,546,20
79901,10/1/2020,568,547,21
79901,10/2/2020,572,550,22
79901,10/3/2020,579,557,22
79901,10/4/2020,598,576,22
79901,10/5/2020,604,582,22
79901,10/6/2020,613,591,22
79901,10/7/2020,623,600,23
79901,10/8/2020,631,608,23
79901,10/9/2020,648,625,23
79901,10/10/2020,652,629,23
79901,10/11/2020,661,637,24
79901,10/12/2020,663,639,24
79901,10/13/2020,675,651,24
79901,10/14/2020,693,669,24
79901,10/15/2020,701,676,25
79901,10/16/2020,721,695,26
79901,10/17/2020,742,714,28
79901,10/18/2020,767,739,28
79901,10/19/2020,788,760,28
79901,10/20/2020,812,782,30
79901,10/21/2020,836,806,30
79901,10/22/2020,862,828,34
79901,10/23/2020,884,850,34
79901,10/24/2020,925,889,36
79901,10/25/2020,962,925,37
79901,10/26/2020,999,957,42
79901,10/27/2020,1044,1001,43
79901,10/28/2020,1074,1030,44
79901,10/29/2020,1107,1062,44
79901,10/30/2020,1144,1099,44
79901,10/31/2020,1165,1118,45
79901,11/1/2020,1207,1158,47
79901,11/2/2020,1258,1207,49
79901,11/3/2020,1296,1245,49
79901,11/4/2020,1320,1269,49
79901,11/5/2020,1338,1287,49
79901,11/6/2020,1361,1306,53
79901,11/7/2020,1378,1323,53
79901,11/8/2020,1397,1340,55
79901,11/9/2020,1439,1382,55
79901,11/10/2020,1458,1401,55
79901,11/11/2020,1487,1429,56
79901,11/12/2020,1496,1437,57
79901,11/13/2020,1515,1456,57
79901,11/14/2020,1548,1488,58
79901,11/15/2020,1564,1504,58
79901,11/16/2020,1586,1525,59
79901,11/17/2020,1608,1546,60
79901,11/18/2020,1619,1555,62
79901,11/19/2020,1634,1568,64
79901,11/20/2020,1656,1590,64
79901,11/21/2020,1665,1599,64
79901,11/22/2020,1707,1639,66
79901,11/23/2020,1711,1643,66
